UniProtID	asa	psipred	pfam	gnomad	polyphen	sift	provean	provean_sift
Q92610	0	0	1	1	1	0	0	0
Q96CU9	0	1	1	1	1	1	1	0
Q30201	1	1	1	1	1	0	0	0
Q9P2L0	0	1	1	1	1	0	0	0
Q86XE5	1	1	1	1	1	1	1	0
O95876	0	1	1	1	1	1	1	0
Q9ULP9	0	1	1	1	1	0	0	0
Q9NQH7	1	1	1	1	1	1	1	0
P03999	0	1	1	1	1	1	1	0
P06132	1	1	1	1	1	1	1	0
Q07864	1	1	1	1	1	1	1	0
P42166	0	0	1	1	1	1	1	0
O60706	0	1	1	1	1	0	0	0
Q96M96	0	1	1	1	1	1	1	0
Q99959	1	1	1	1	1	1	1	0
Q8IXS2	0	1	1	1	1	0	0	0
Q9UQD0	0	1	1	1	1	1	1	0
P37023	1	1	1	1	1	1	1	0
P11802	1	0	1	1	1	1	1	0
Q8TAM1	0	1	1	1	1	1	1	0
P28472	1	0	1	1	1	0	0	0
P68032	0	1	1	1	1	0	1	0
Q7Z699	1	1	1	1	1	1	1	0
Q96JI7	0	1	1	1	1	1	1	0
Q8WXU2	0	1	1	1	1	1	1	0
P09493	1	1	1	1	1	0	0	0
O43541	0	1	1	1	1	1	1	0
P84022	1	1	1	1	1	0	0	0
Q9Y3Q4	1	1	1	1	1	1	1	0
Q9NVI1	0	1	1	1	1	0	0	0
P54098	1	1	1	1	1	0	0	0
P54132	1	1	1	1	1	1	1	0
Q9NWW5	0	1	1	1	1	1	1	0
O14647	0	1	1	1	1	1	1	0
Q99732	0	1	1	1	1	1	1	0
P49815	0	1	1	1	1	1	1	0
Q92889	1	1	1	1	1	1	1	0
Q9UPM8	0	1	1	1	1	1	1	0
Q86YC2	1	0	1	1	1	1	1	0
Q7Z6L0	0	1	1	1	1	0	0	0
Q8IY92	1	1	1	1	1	1	1	0
Q13286	0	1	1	1	1	0	0	0
Q96RK4	0	1	1	1	1	1	1	0
P09471	1	1	1	1	1	1	1	0
P12830	1	1	1	1	1	0	0	0
Q9GZN7	1	0	1	1	1	1	1	0
Q68CZ1	0	1	1	1	1	0	0	0
P49588	1	1	1	1	1	1	1	0
Q7L5A8	0	1	1	1	1	1	1	0
Q9NZC7	0	1	1	1	1	0	0	0
Q8NEP3	0	1	1	1	1	1	1	0
Q9UQ90	1	1	1	1	1	1	1	0
O15360	0	1	1	1	1	1	1	0
Q01726	0	1	1	1	1	1	1	0
Q12879	1	1	1	1	1	0	0	0
Q9BQ52	0	1	1	1	1	1	1	0
Q8NFG4	1	1	1	1	1	1	1	0
Q9BXC9	0	1	1	1	1	1	1	0
O75771	0	0	1	1	1	0	0	0
Q969G3	0	1	1	1	1	1	1	0
P14923	1	1	1	1	1	0	0	0
P38398	1	1	1	0	1	0	0	0
O15273	1	1	1	1	1	1	1	0
Q86SG6	0	1	1	1	1	1	1	0
Q8IW40	0	1	1	1	1	0	0	0
O43502	0	0	1	1	1	1	1	0
O14653	1	1	1	1	1	0	0	0
Q9NVS9	1	1	1	1	1	1	1	0
Q01453	0	1	1	1	1	0	0	0
P10644	1	1	1	1	1	0	0	0
P63252	0	1	1	1	1	0	0	0
P04637	1	1	1	1	1	0	0	0
Q4G0X9	0	1	1	1	1	0	0	0
Q9HD47	0	0	1	1	1	1	1	0
A6NFN3	0	0	1	1	1	0	0	0
O94989	0	1	1	1	1	0	0	0
Q2NKJ3	1	1	1	1	1	1	1	0
P52179	1	1	1	1	1	0	0	0
Q02487	1	1	1	1	1	0	0	0
Q92908	0	1	1	1	1	1	1	0
P02766	1	1	1	1	1	1	1	0
Q13485	1	1	1	1	1	0	0	0
Q14126	1	1	1	1	1	1	1	0
P50570	0	1	1	1	1	0	0	0
P01130	1	1	1	1	1	0	0	0
A5D8V7	0	1	0	1	1	1	1	0
Q15831	1	1	1	1	1	1	1	0
Q96L12	0	1	1	1	1	1	1	0
P27539	0	1	1	1	1	1	1	0
P49715	0	1	1	1	1	1	1	0
Q9H9S5	0	1	1	1	1	0	0	0
Q96M63	0	1	0	1	1	1	1	0
Q9BXM0	1	1	0	1	1	0	0	0
Q8TD43	1	1	1	1	1	1	1	0
Q71SY5	0	1	1	1	1	1	1	0
Q96T60	1	1	1	1	1	1	1	0
P28340	0	1	1	1	1	1	1	0
Q9H1R3	1	1	1	1	1	0	0	0
Q9BR39	0	1	1	1	1	0	0	0
O95528	0	1	1	1	1	1	1	0
P43681	1	1	1	1	1	1	1	0
O43526	1	1	1	1	1	0	0	0
Q9NQ66	0	0	1	1	1	1	1	0
P57076	0	1	1	1	1	1	1	0
P15382	0	1	1	1	1	0	0	0
P36507	1	1	1	1	1	1	1	0
P35520	1	1	1	1	1	0	0	1
Q8WYR4	0	1	1	1	1	1	1	0
P13637	0	1	1	1	1	1	1	0
Q12824	1	1	1	1	1	1	1	0
O75298	0	1	1	1	1	1	1	0
Q9NNW7	0	1	1	1	1	1	1	0
O96017	1	1	1	1	1	0	0	0
P35240	1	1	1	1	1	0	0	0
O75140	1	1	1	1	1	0	0	0
P30566	1	1	1	1	1	0	0	0
Q8TAB3	0	1	1	1	1	0	0	0
P51793	0	1	1	1	1	1	1	0
P60201	1	1	1	1	1	0	0	0
O60687	0	1	1	1	1	1	1	0
P13473	1	1	1	1	1	1	1	0
P51654	0	1	1	1	1	1	1	0
P19429	1	1	1	1	1	1	1	0
O75665	0	1	1	1	1	1	1	0
Q92581	0	0	1	1	1	0	0	0
Q9NPJ1	0	1	1	1	1	0	0	0
Q8NB91	0	1	0	1	1	0	0	0
Q13424	0	0	1	1	1	1	1	0
P48029	0	1	1	1	1	1	1	0
O76039	1	1	1	1	1	0	0	0
P15976	0	1	1	1	1	1	1	0
Q93074	0	1	1	1	1	1	1	0
P08034	1	1	1	1	1	0	0	0
P06280	1	1	1	1	1	1	1	0
Q9NP73	0	1	1	1	1	0	0	0
O95831	1	1	1	1	1	1	1	0
P51608	1	1	1	1	1	1	1	0
Q16635	0	1	1	1	1	0	0	0
Q96QS3	0	1	1	1	1	1	1	0
P36021	0	1	1	1	1	0	0	0
O43511	0	1	1	1	1	1	1	0
Q9UBP0	1	1	1	1	1	1	1	0
P42345	1	1	1	1	1	1	1	0
Q92574	1	1	1	1	1	0	0	0
Q99575	0	0	1	1	1	0	0	0
Q9ULL8	0	1	1	1	1	0	0	0
Q9ULC3	0	0	1	1	1	0	0	0
P36543	0	0	1	1	1	1	1	0
Q9Y462	0	0	1	1	1	0	0	0
Q9UHG0	0	1	1	1	1	0	0	0
P38606	0	0	1	1	1	1	1	0
Q9BT40	0	0	1	1	1	0	0	0
Q92736	1	1	1	1	1	1	1	0
Q8NA29	0	0	1	1	1	1	1	0
Q14055	1	1	1	1	1	1	1	0
Q9Y4U1	1	1	1	1	1	1	1	0
Q0ZGT2	0	1	1	1	1	0	0	0
P49792	1	1	1	1	1	1	1	0
P28331	1	1	1	1	1	0	0	0
Q9HC10	0	1	1	1	1	1	1	0
P08100	1	1	1	1	1	1	1	0
Q96IV0	1	0	1	1	1	1	1	0
Q6ZNJ1	0	1	1	1	1	1	1	0
Q8N4S9	1	1	1	1	1	1	1	0
Q8WXG9	0	1	1	1	1	1	1	0
P10589	0	1	1	1	1	1	1	0
Q5VTD9	0	0	1	1	1	0	0	0
Q8TDI8	0	1	1	1	1	0	0	0
Q96QU1	1	1	1	0	1	1	1	0
Q86TC9	0	1	1	1	1	0	0	0
Q9H251	1	1	1	1	1	0	0	0
P18206	1	1	1	1	1	1	1	0
O75443	0	1	1	1	1	0	0	0
Q6ZRI0	0	1	1	1	1	0	0	0
Q7LDG7	1	1	1	1	1	0	0	0
Q14839	1	1	1	1	1	1	1	0
Q7RTU9	0	1	0	1	1	1	1	0
Q9UKN7	0	1	1	1	1	1	1	0
P08514	1	1	1	1	1	1	1	0
P07359	1	1	1	1	1	1	1	0
Q15833	1	1	1	1	1	1	1	0
Q969N2	0	1	1	1	1	0	0	0
Q14721	0	1	1	1	1	1	1	0
Q96NR3	0	0	1	1	1	1	1	0
P12107	0	1	1	1	1	0	0	0
O75381	1	0	1	1	1	1	1	0
P16389	0	1	1	1	1	0	0	0
Q6UX65	0	0	1	1	1	0	0	0
Q9UK17	1	1	1	1	1	0	0	0
P01111	1	1	1	1	1	1	1	0
O14958	1	1	1	1	1	1	1	0
Q02809	0	1	1	1	1	1	1	0
Q04721	1	1	1	1	1	1	1	0
O95140	0	1	1	1	1	0	0	0
Q96L58	0	1	1	1	1	1	1	0
Q7Z3K3	1	0	1	1	1	1	1	0
P06753	0	1	1	1	1	0	0	0
Q99895	1	1	1	1	1	1	1	0
P17787	1	1	1	1	1	1	1	0
P04062	1	1	1	1	1	0	0	0
Q92963	1	1	1	1	1	0	0	0
Q8NCW5	0	1	1	1	1	1	1	0
P50993	0	1	1	1	1	1	1	0
Q96NY8	1	1	1	1	1	1	1	0
P50336	1	1	1	1	1	0	0	0
P25189	1	1	1	1	1	0	0	0
P21912	0	1	1	1	1	1	1	0
